elevation, aspect, slope, horizontal_distance_to_hydrology,vertical_distance_to_hydrology, Horizontal_Distance_To_Roadways, Hillshade_Noon, Hillshade_3pm, Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2483,355,21,228,-3,525,198,151,1430,4,10,6
2338,348,19,256,142,792,204,160,576,4,6,6
2309,359,31,190,71,631,165,134,510,4,10,6
2412,318,21,228,89,1471,216,194,402,4,10,6
2055,352,35,362,-8,408,159,142,967,4,5,6
2285,74,10,192,34,1312,220,119,540,4,10,6
2489,312,19,180,58,1277,222,196,484,4,6,6
2031,58,33,323,182,306,151,35,841,4,3,6
2466,198,8,417,110,854,247,164,1266,4,6,6
2453,358,17,404,72,607,206,150,1177,4,10,6
2300,359,18,127,65,942,204,149,1213,4,10,6
2275,312,27,120,65,875,209,206,674,4,10,6
2427,342,14,480,121,1041,218,166,1120,4,6,6
2416,18,13,255,76,1364,213,138,600,4,10,6
2361,282,22,210,91,1172,235,219,350,4,10,6
2380,91,19,42,9,685,206,82,1533,4,5,6
2374,66,27,366,107,433,176,57,912,4,3,6
2399,27,10,0,0,792,219,138,1075,4,16,6
2335,222,38,85,65,1332,243,208,534,4,3,6
2090,15,23,175,70,450,186,123,674,4,10,6
2406,43,10,564,112,631,217,129,1057,4,3,6
2411,354,15,408,141,957,212,156,1054,4,6,6
2283,102,16,30,7,1110,217,96,1179,4,4,6
2098,8,28,108,-3,488,174,124,481,4,10,6
2409,347,23,150,42,674,197,161,1248,4,10,6
2463,358,16,182,13,990,209,152,212,4,6,6
2274,310,17,67,22,1645,226,195,1024,4,3,6
2345,336,27,382,146,1090,193,174,955,4,10,6
2372,36,24,234,-1,912,179,93,934,4,10,6
2331,351,22,366,145,900,197,156,1176,4,10,6
2101,59,39,90,79,339,131,13,272,4,3,6
2428,6,11,297,42,592,218,149,1245,4,10,6
2023,327,23,210,55,537,206,186,612,4,10,6
2275,86,21,108,28,1236,201,76,636,4,3,6
2269,328,21,60,19,1113,211,184,816,4,10,6
2183,287,31,90,46,1209,220,233,671,4,10,6
2477,327,20,60,4,390,213,183,1477,4,10,6
2455,348,15,424,69,636,214,161,1187,4,10,6
2460,288,18,342,73,870,235,208,192,4,3,6
2362,290,7,127,56,1060,239,178,875,4,10,6
2460,133,10,60,8,443,235,128,1348,4,6,6
2335,266,7,228,125,999,243,180,690,4,5,6
2177,20,32,360,-3,859,155,95,830,4,10,6
2310,76,24,90,27,1226,188,65,1120,4,4,6
2313,313,29,295,101,1121,204,208,853,4,10,6
2327,25,23,170,64,1153,184,111,780,4,5,6
2356,302,13,150,95,957,234,190,987,4,10,6
2439,75,20,516,103,721,198,80,1360,4,10,6
1949,347,22,60,28,330,199,161,708,4,3,6
2349,314,17,295,139,1091,224,191,601,4,6,6
2439,321,25,258,121,703,206,194,1262,4,10,6
2411,61,17,210,85,908,202,98,1276,4,6,6
2477,305,18,256,55,870,228,198,134,4,3,6
2213,41,33,108,22,485,150,59,1008,4,10,6
2489,353,14,85,-3,534,215,157,1343,4,10,6
2074,15,30,150,94,175,164,109,437,4,10,6
2189,359,22,300,70,510,194,146,192,4,10,6
2280,178,8,120,38,1676,245,155,841,4,3,6
2173,344,31,212,126,552,177,162,800,4,10,6
2336,26,21,216,73,1116,190,114,759,4,5,6
2413,348,21,234,88,1445,200,159,408,4,10,6
2435,281,17,400,165,1012,239,208,450,4,10,6
2398,298,17,30,5,1277,232,201,309,4,10,6
2413,74,20,150,55,765,199,82,1400,4,6,6
2455,309,15,362,106,799,229,191,1433,4,10,6
2147,34,34,150,125,324,146,65,210,4,10,6
2190,350,21,216,81,1018,200,158,781,4,10,6
2147,320,36,108,68,573,180,201,841,4,10,6
2245,9,33,228,64,849,154,111,725,4,10,6
2252,358,33,95,24,553,162,134,547,4,10,6
2526,354,17,297,88,1048,209,155,450,4,6,6
2150,315,30,108,70,811,201,205,902,4,10,6
2498,3,10,30,0,426,220,152,1518,4,6,6
2171,321,18,30,-2,1379,220,186,591,4,14,6
2364,333,22,371,94,870,206,178,1082,4,10,6
2421,259,28,85,36,1209,242,232,853,4,10,6
2261,43,29,150,58,685,163,68,949,4,10,6
2278,302,21,127,43,1500,226,205,693,4,6,6
2337,246,23,95,31,1243,250,216,1405,4,10,6
2392,122,9,190,66,1061,233,128,1207,4,6,6
2447,333,14,404,69,646,222,172,1215,4,10,6
2378,300,17,0,0,1332,231,200,351,4,10,6
2136,324,28,175,95,474,199,192,684,4,10,6
2288,269,13,42,3,1377,244,199,781,4,10,6
2447,340,13,402,177,891,220,167,924,4,6,6
1994,32,25,124,22,446,178,97,579,4,10,6
2263,308,13,85,16,1325,232,188,524,4,10,6
2172,16,27,134,25,324,172,111,700,4,10,6
2419,328,14,175,41,731,224,177,553,4,10,6
2434,37,10,60,4,331,219,133,1239,4,11,6
2254,107,9,450,118,666,230,126,60,4,3,6
2449,266,13,474,179,968,245,197,514,4,10,6
2314,270,15,60,8,1254,244,204,1410,4,10,6
2288,304,29,277,136,834,211,217,1176,4,10,6
2362,35,23,258,146,722,183,97,1006,4,10,6
2472,177,8,450,116,874,245,154,1317,4,6,6
2409,103,9,190,53,735,228,122,1253,4,3,6
2476,129,15,90,4,492,230,112,1376,4,6,6
2428,287,27,60,30,1126,226,227,806,4,10,6
2285,302,35,150,75,890,200,226,700,4,10,6
2439,325,17,180,83,674,220,182,1198,4,10,6
2436,283,17,376,14,960,238,206,153,4,10,6
2350,90,19,85,30,509,207,83,485,4,10,6
2277,278,20,90,22,1019,239,216,1283,4,10,6
2136,15,21,30,3,365,192,126,488,4,10,6
2307,356,30,182,54,641,172,141,540,4,10,6
2465,169,10,212,31,607,244,148,1365,4,6,6
2327,308,14,180,65,1075,231,189,553,4,5,6
2326,338,22,85,21,1209,204,172,285,4,10,6
2237,43,17,424,111,603,201,110,67,4,3,6
2462,115,15,240,28,630,225,106,1392,4,6,6
2448,346,15,150,10,1100,215,163,175,4,6,6
2244,292,35,256,-3,942,208,234,930,4,10,6
2360,9,34,255,17,649,154,112,488,4,10,6
2374,5,15,0,0,693,210,146,1224,4,14,6
2393,251,22,300,123,1087,249,218,371,4,10,6
1948,9,33,240,97,210,156,112,810,4,5,6
2350,335,33,108,42,953,177,175,920,4,10,6
2323,14,4,42,-8,319,231,153,1292,4,10,6
2082,311,21,268,84,495,220,200,700,4,10,6
2081,66,34,150,35,216,153,28,484,4,10,6
2407,323,26,330,163,847,203,193,1087,4,10,6
2343,312,15,283,133,1065,228,189,631,4,6,6
2417,316,15,150,39,711,226,186,560,4,10,6
2427,221,20,391,157,1001,254,193,390,4,10,6
2385,91,20,30,11,752,205,80,1110,4,10,6
2097,308,23,67,34,659,218,206,849,4,10,6
2437,272,17,324,66,659,243,209,1290,4,10,6
2395,308,22,240,89,1191,220,204,1355,4,10,6
2459,251,11,150,9,912,248,189,127,4,3,6
2440,14,18,297,56,551,200,133,1208,4,10,6
2273,11,29,95,3,607,167,116,633,4,10,6
2426,294,25,270,120,1154,224,219,1361,4,10,6
2461,316,16,390,105,824,224,189,1443,4,10,6
2236,119,21,67,24,1477,217,85,458,4,3,6
2206,308,27,150,69,1124,212,210,722,4,10,6
2432,8,21,335,89,716,192,134,664,4,10,6
2487,69,4,108,15,531,231,143,1383,4,6,6
2383,130,17,150,42,591,227,104,1443,4,3,6
2461,170,20,391,191,1101,244,135,573,4,3,6
2175,61,29,127,11,437,168,52,966,4,3,6
2411,50,4,631,96,702,231,146,1148,4,6,6
2172,58,34,153,140,376,149,34,218,4,10,6
2076,328,32,67,30,408,185,187,666,4,10,6
2397,318,20,190,74,1440,218,192,362,4,10,6
2372,354,9,297,109,1172,225,158,664,4,6,6
2445,99,11,30,1,408,224,114,1324,4,6,6
2338,350,15,85,13,1535,213,159,543,4,10,6
2336,292,27,120,64,1110,223,223,750,4,10,6
2500,1,9,90,7,469,223,153,1410,4,6,6
2227,316,23,42,15,1554,214,197,301,4,10,6
2370,356,25,30,13,1421,188,147,437,4,10,6
2258,339,30,242,10,774,182,170,1020,4,10,6
2403,323,22,270,97,1168,212,189,1325,4,10,6
2325,318,14,0,0,1092,227,184,1425,4,10,6
2319,321,23,150,72,1034,210,192,902,4,10,6
2458,130,8,450,102,722,236,135,1040,4,3,6
2335,349,7,67,4,309,228,160,1348,4,10,6
2446,346,14,268,76,1064,218,163,859,4,6,6
2346,105,20,85,26,313,211,81,1195,4,3,6
2425,0,11,503,81,853,220,153,1348,4,10,6
2259,271,27,170,85,1366,237,230,741,4,10,6
2274,259,29,67,41,1290,242,232,485,4,3,6
2408,291,23,277,15,1080,229,217,95,4,10,6
2338,59,26,90,56,938,175,64,934,4,10,6
1952,294,30,242,96,210,216,227,836,4,5,6
1887,13,27,95,40,85,175,117,612,4,5,6
2387,129,18,190,51,541,227,102,1381,4,3,6
2479,135,10,531,135,849,236,131,1422,4,6,6
2105,50,24,30,10,285,180,78,886,4,3,6
1979,34,21,190,41,480,189,105,713,4,3,6
2088,338,31,95,68,306,180,172,467,4,10,6
2346,44,28,180,76,679,168,72,912,4,10,6
2239,0,34,150,67,841,158,128,1110,4,10,6
2235,331,32,285,13,708,183,183,953,4,10,6
2399,70,17,180,73,942,205,96,1279,4,6,6
2482,324,21,95,24,443,213,188,1422,4,10,6
2197,33,28,331,147,395,166,85,272,4,10,6
2376,218,30,150,106,1277,251,199,525,4,3,6
2365,337,22,108,40,1350,204,174,283,4,10,6
2432,325,15,150,29,1413,222,180,492,4,10,6
2448,340,22,212,104,725,202,169,1148,4,10,6
2220,344,30,258,146,745,179,162,983,4,10,6
2485,100,11,552,141,845,225,116,1449,4,6,6
2007,331,11,335,78,570,226,172,800,4,3,6
2314,262,22,150,58,1756,245,220,1019,4,3,6
2077,314,30,85,44,437,200,207,595,4,10,6
2119,24,33,247,55,503,150,84,1025,4,3,6
2043,265,17,256,-14,641,245,209,938,4,3,6
2339,36,9,180,56,1261,221,136,1036,4,11,6
2336,221,34,95,68,1366,248,205,576,4,3,6
1983,308,17,134,41,480,227,195,658,4,10,6
1930,355,14,150,59,95,215,155,655,4,3,6
2073,338,27,247,-69,607,189,171,631,4,10,6
2106,18,25,60,8,361,178,113,371,4,10,6
2456,335,21,335,78,765,206,175,514,4,10,6
2406,328,23,170,60,725,207,184,1230,4,10,6
2301,311,25,295,18,1148,213,206,895,4,10,6
2414,2,14,170,30,531,212,149,1277,4,11,6
2359,299,14,162,53,1206,234,194,1441,4,10,6
2506,317,9,67,11,474,232,176,1486,4,6,6
2235,304,31,210,156,677,206,219,938,4,10,6
2418,349,19,324,148,890,206,160,908,4,6,6
2407,319,20,95,21,875,217,192,993,4,10,6
2140,328,27,150,36,979,198,186,760,4,10,6
2420,18,17,30,1,371,202,130,1263,4,11,6
2476,317,17,430,120,834,223,188,1426,4,6,6
2436,311,13,255,76,1129,231,186,794,4,6,6
2208,345,29,242,27,828,180,161,731,4,10,6
1977,39,29,313,126,295,163,74,849,4,5,6
2328,38,10,270,64,1710,217,131,920,4,3,6
2362,49,30,108,63,1218,160,57,1181,4,10,6
2205,292,28,124,68,1211,221,225,706,4,10,6
2417,260,25,234,151,1266,244,226,591,4,3,6
2331,102,21,361,92,424,207,75,828,4,3,6
2272,222,7,108,32,1702,247,173,934,4,3,6
2454,292,23,339,184,1195,229,215,618,4,10,6
2336,108,21,30,10,1034,210,78,1365,4,5,6
2283,331,24,42,18,1226,202,182,646,4,10,6
2347,132,23,95,15,402,221,85,1302,4,3,6
1900,328,31,42,1,95,187,187,816,4,5,6
2385,2,35,277,115,767,152,122,612,4,10,6
2451,111,12,42,7,418,227,116,1332,4,6,6
2299,318,27,120,52,1075,203,199,864,4,10,6
2443,298,22,67,12,774,225,211,1103,4,10,6
2332,330,17,108,40,1194,218,178,365,4,5,6
2368,121,20,124,32,537,219,89,1415,4,3,6
2277,344,21,234,84,1224,203,165,807,4,10,6
2220,46,21,218,84,543,189,94,258,4,10,6
2463,88,12,514,107,671,220,112,1061,4,6,6
2453,309,10,450,147,1015,233,182,1179,4,6,6
2240,40,33,108,24,524,151,61,1025,4,10,6
2404,319,20,170,56,1290,217,192,612,4,10,6
2264,54,15,60,13,124,207,110,939,4,10,6
1969,26,20,42,7,395,192,115,592,4,10,6
2389,245,18,300,119,1084,251,206,342,4,10,6
1885,29,20,153,43,120,191,111,779,4,3,6
2337,315,14,300,54,1320,228,185,939,4,11,6
2339,344,27,361,142,1095,186,163,933,4,10,6
2436,24,20,30,12,1273,193,118,799,4,10,6
2400,321,18,127,29,1495,220,186,524,4,10,6
2193,51,37,90,88,648,135,29,918,4,10,6
2458,163,13,180,24,573,243,140,1406,4,6,6
2399,6,16,30,7,484,208,144,1321,4,11,6
2123,28,25,30,1,300,176,100,841,4,10,6
2269,330,30,300,132,1074,189,184,878,4,10,6
2226,140,25,60,18,1499,224,89,467,4,3,6
2152,358,22,150,24,600,194,147,268,4,10,6
2469,277,19,361,82,840,240,212,234,4,3,6
2425,323,14,127,19,1180,225,180,201,4,10,6
2406,322,20,85,14,834,216,189,1033,4,10,6
1927,50,26,108,53,201,173,71,671,4,3,6
1982,27,21,108,22,437,189,112,591,4,10,6
2444,330,9,366,172,1230,229,170,741,4,6,6
2066,261,17,218,68,450,247,207,633,4,10,6
2222,63,19,331,101,624,196,88,67,4,3,6
2477,329,18,134,39,1114,215,180,313,4,10,6
2245,16,32,150,42,537,157,101,459,4,10,6
2413,328,16,127,20,1206,219,179,218,4,10,6
2453,62,23,108,53,955,185,73,642,4,10,6
2389,337,15,234,11,1140,218,171,153,4,10,6
2161,18,28,42,11,361,169,107,834,4,10,6
2340,340,9,0,0,1410,227,165,457,4,16,6
2366,354,18,192,57,1332,206,154,366,4,10,6
2360,336,24,85,49,966,200,174,840,4,10,6
2382,209,27,190,112,1213,253,185,470,4,3,6
2283,330,13,150,32,1337,224,175,511,4,10,6
2456,354,9,534,186,960,224,157,1084,4,6,6
2372,347,24,95,54,836,193,159,1113,4,10,6
2216,58,20,295,165,362,195,89,351,4,3,6
2274,297,23,90,34,1608,225,214,752,4,6,6
1926,30,31,162,71,150,156,79,875,4,5,6
2415,45,5,591,100,664,229,144,1140,4,6,6
2525,284,6,212,42,90,240,176,1786,4,6,6
2280,355,22,67,42,1570,195,151,720,4,6,6
2404,76,18,120,46,742,205,90,1442,4,6,6
2342,36,24,30,15,1114,179,93,845,4,10,6
2311,359,10,0,0,1500,221,154,524,4,17,6
2456,255,11,488,203,895,247,191,466,4,3,6
2145,285,28,255,71,379,226,229,768,4,3,6
2276,93,16,201,29,1318,214,96,541,4,3,6
2385,269,30,210,79,1253,235,235,1392,4,10,6
1886,16,15,30,7,150,207,136,741,4,5,6
2163,30,31,270,113,331,157,82,330,4,10,6
2343,250,18,180,73,1203,250,207,391,4,3,6
2267,293,36,228,19,924,206,235,960,4,10,6
2495,1,18,474,71,400,204,147,931,4,6,6
2347,21,9,285,84,1040,221,142,765,4,6,6
2332,308,17,153,61,1120,227,195,503,4,5,6
2093,47,12,30,-6,342,214,122,400,4,10,6
2240,330,16,30,7,1248,218,177,685,4,10,6
2414,21,14,300,88,990,208,133,1149,4,6,6
2452,13,6,335,82,1018,227,150,942,4,6,6
2486,211,6,218,64,841,245,166,153,4,3,6
2277,42,23,30,10,124,182,90,993,4,10,6
2449,300,20,180,71,626,227,206,430,4,10,6
2338,59,10,247,75,1032,219,124,800,4,5,6
2392,7,17,175,33,1230,203,141,242,4,10,6
2426,291,22,339,20,1020,230,215,67,4,10,6
2364,340,24,42,12,765,197,169,1128,4,10,6
2497,74,12,85,10,484,217,114,1317,4,6,6
2275,274,28,153,65,841,233,232,732,4,6,6
2331,353,12,95,11,1563,218,157,571,4,10,6
1930,37,24,85,21,285,180,94,638,4,3,6
2183,38,29,330,131,391,164,76,270,4,10,6
2254,118,17,124,23,1358,223,98,524,4,3,6
2286,313,16,30,9,1148,226,191,725,4,14,6
2357,135,20,124,24,470,227,98,1358,4,3,6
2304,319,30,85,39,1200,197,200,664,4,10,6
2373,333,20,127,41,1500,210,177,390,4,10,6
2167,288,29,212,100,616,223,228,841,4,10,6
2304,112,20,297,69,361,215,85,765,4,3,6
2027,29,21,319,77,630,191,112,730,4,10,6
2272,74,23,127,69,713,191,70,977,4,10,6
2033,359,36,360,182,330,149,126,930,4,5,6
2261,177,23,30,15,1591,246,141,932,4,3,6
2480,109,10,42,3,469,229,121,1316,4,6,6
2452,152,12,180,18,570,240,134,1440,4,6,6
2398,64,19,430,68,603,198,89,1294,4,10,6
2133,4,28,268,11,480,175,130,805,4,10,6
2225,35,31,240,43,618,156,73,875,4,10,6
2139,311,27,134,44,937,210,207,794,4,10,6
2477,108,10,42,5,467,228,120,1332,4,6,6
2102,330,27,30,15,865,196,183,825,4,10,6
2385,13,8,30,0,899,225,149,967,4,16,6
2169,294,29,90,32,1146,219,225,661,4,10,6
2226,108,22,67,37,1487,209,75,458,4,3,6
2026,298,30,300,177,270,214,223,859,4,5,6
2406,352,16,258,83,902,211,157,663,4,10,6
2441,269,18,451,171,930,244,212,277,4,10,6
2305,325,23,247,84,1110,209,188,841,4,10,6
1919,343,39,120,70,90,152,156,693,4,5,6
2287,12,34,175,59,591,150,104,481,4,10,6
2251,46,25,30,1,990,178,80,983,4,5,6
2336,334,24,42,17,1290,200,178,216,4,16,6
2314,52,27,120,66,1006,172,68,1061,4,11,6
2202,59,26,216,102,361,176,65,443,4,3,6
2309,255,24,258,69,1680,247,221,866,4,3,6
2297,98,24,180,50,1136,199,63,720,4,3,6
1972,50,21,162,12,210,190,90,558,4,3,6
2436,2,17,30,8,674,206,147,1194,4,10,6
2292,16,29,212,96,850,167,109,700,4,6,6
2246,323,20,60,16,1234,215,187,698,4,10,6
2141,64,33,175,90,242,154,31,459,4,4,6
2376,319,24,300,129,914,211,195,1020,4,10,6
2329,57,23,60,23,1187,186,79,1315,4,10,6
2154,31,32,120,33,551,153,76,324,4,10,6
2125,350,29,150,89,470,177,151,713,4,10,6
2502,12,13,212,74,787,212,142,484,4,10,6
2350,221,35,108,80,1302,246,205,516,4,3,6
2286,287,20,201,121,1374,235,212,778,4,10,6
2302,277,20,150,46,1758,239,215,1012,4,3,6
2177,14,29,67,13,382,167,112,819,4,10,6
1946,49,17,30,4,330,202,105,595,4,3,6
2419,337,19,277,115,825,211,173,600,4,10,6
2289,12,24,324,108,930,185,126,819,4,10,6
2078,6,36,350,14,430,147,112,1001,4,5,6
2455,317,11,480,149,1008,231,179,1142,4,6,6
2294,27,28,90,44,1057,168,95,815,4,10,6
2266,9,33,242,85,870,155,111,738,4,10,6
2183,311,29,242,113,658,205,210,890,4,10,6
2100,7,38,324,36,459,140,107,1019,4,5,6
2413,309,10,192,35,595,234,181,1318,4,11,6
2223,349,26,240,86,1064,188,156,812,4,10,6
2329,32,21,162,66,1142,188,106,778,4,5,6
2412,332,17,192,34,750,217,176,582,4,10,6
2377,307,20,390,158,990,224,202,984,4,10,6
1899,357,20,67,27,60,199,149,735,4,3,6
2465,132,13,391,109,864,233,119,1282,4,6,6
2384,248,22,127,43,1489,250,215,618,4,10,6
2502,283,6,60,8,511,240,177,1442,4,6,6
2398,311,26,420,170,902,212,205,1057,4,10,6
2297,54,10,30,-1,134,218,125,1092,4,10,6
2382,319,14,108,12,1091,226,183,780,4,10,6
2178,0,26,30,6,752,182,138,1024,4,10,6
2214,292,25,150,77,1146,226,220,726,4,10,6
1953,17,27,256,98,240,173,112,939,4,3,6
2257,301,30,218,120,1176,213,220,800,4,10,6
2072,270,26,339,8,474,239,228,1006,4,3,6
2115,318,15,85,18,966,226,185,742,4,10,6
2434,11,14,408,164,955,210,141,977,4,6,6
2342,237,22,42,14,1415,253,209,711,4,10,6
2460,333,16,408,116,865,218,174,1482,4,10,6
2080,344,28,212,-62,600,184,163,600,4,10,6
2492,341,11,90,25,636,223,166,1310,4,6,6
2310,356,26,42,14,1140,185,146,1027,4,10,6
2413,312,13,295,147,1328,230,185,713,4,10,6
2341,343,21,283,35,1099,202,166,1350,4,10,6
2209,35,33,150,42,470,150,67,408,4,10,6
2453,330,10,390,163,1146,228,172,824,4,6,6
2322,294,32,182,112,932,213,229,711,4,5,6
2431,5,14,540,87,819,212,147,1340,4,10,6
2375,297,26,210,114,875,221,219,1064,4,10,6
2319,306,16,309,168,1307,229,195,886,4,10,6
2474,331,18,446,130,875,215,179,1465,4,6,6
2077,354,37,335,13,437,151,137,997,4,5,6
2357,334,18,201,51,1173,214,174,1410,4,10,6
2475,336,3,218,31,604,235,160,1328,4,6,6
1980,272,18,242,59,480,242,210,769,4,3,6
2444,284,15,242,76,979,239,201,931,4,10,6
2323,50,26,42,17,1259,175,73,1222,4,10,6
2375,40,18,242,86,934,198,108,912,4,10,6
2408,333,22,216,82,1443,206,178,391,4,10,6
2317,311,25,134,88,966,214,204,591,4,5,6
2267,50,18,42,0,120,199,101,966,4,10,6
2183,54,35,162,138,402,143,33,228,4,10,6
2391,90,17,42,10,591,211,92,1441,4,6,6
1918,20,21,150,46,134,191,120,693,4,3,6
2293,309,20,42,7,1530,223,199,579,4,10,6
2114,258,19,150,50,630,248,211,973,4,3,6
2374,67,14,175,54,390,211,107,1215,4,10,6
2444,289,17,362,22,930,236,204,162,4,10,6
2247,31,25,67,7,474,179,98,731,4,10,6
2426,169,7,60,-7,450,243,151,1362,4,6,6
2405,2,18,234,94,840,204,147,1019,4,10,6
2379,268,28,170,113,1471,238,232,782,4,3,6
2194,312,32,150,105,636,197,210,902,4,10,6
1990,336,36,313,135,285,166,173,930,4,5,6
2366,316,15,0,0,1129,227,186,824,4,10,6
2429,59,12,0,0,646,214,116,1224,4,16,6
2380,301,16,170,57,1549,231,198,607,4,10,6
2448,278,21,150,33,485,238,218,285,4,10,6
2373,41,22,192,0,888,186,95,962,4,10,6
2391,135,17,170,50,618,230,108,1423,4,3,6
2394,22,18,283,124,830,198,124,960,4,6,6
2315,282,26,85,34,1426,232,226,726,4,10,6
2495,75,8,108,14,514,225,127,1343,4,6,6
2083,21,28,228,115,234,169,103,470,4,10,6
2410,24,22,216,94,840,188,114,1026,4,10,6
2268,295,13,90,28,1663,236,192,994,4,3,6
2335,297,11,218,125,973,237,187,720,4,5,6
2421,38,17,300,95,960,202,114,1168,4,6,6
2457,284,19,85,6,768,237,210,1120,4,10,6
2249,242,27,30,14,1261,250,221,437,4,3,6
2376,54,25,408,109,474,178,72,914,4,3,6
2485,256,7,446,130,805,245,179,1371,4,6,6
2504,13,16,516,80,424,207,138,911,4,6,6
2173,345,25,268,134,424,193,162,659,4,10,6
2254,338,21,175,60,1289,206,172,745,4,10,6
2398,5,22,255,82,1421,191,137,379,4,10,6
2361,334,22,362,55,1026,206,177,1260,4,10,6
2409,353,18,67,21,1377,206,155,417,4,10,6
2292,344,8,180,59,1410,228,162,644,4,3,6
2447,3,16,514,103,842,208,146,1398,4,10,6
2253,321,25,240,116,1110,206,194,819,4,10,6
2148,5,20,212,48,361,197,140,342,4,10,6
2183,17,31,30,10,1581,161,103,216,4,14,6
2330,334,23,42,14,1260,202,177,212,4,16,6
2425,94,9,537,93,663,226,122,1256,4,6,6
2067,328,29,42,20,400,193,187,663,4,10,6
2294,96,19,175,27,247,209,83,973,4,3,6
2467,0,14,0,0,638,213,151,1254,4,10,6
2346,281,10,30,9,942,241,187,1482,4,10,6
2400,11,18,192,89,870,200,136,997,4,10,6
2087,94,30,150,37,210,179,34,466,4,10,6
2448,234,11,459,178,953,250,185,454,4,10,6
2385,122,14,201,55,466,229,113,1298,4,3,6
2365,292,18,30,6,560,233,207,592,4,10,6
2306,249,34,90,40,1471,241,235,703,4,3,6
2376,315,18,95,17,1199,223,191,674,4,10,6
2419,328,21,242,92,1473,210,183,417,4,10,6
2109,342,28,134,65,443,187,166,684,4,10,6
2424,279,21,277,18,1052,237,218,60,4,10,6
2318,317,19,95,38,1101,219,192,454,4,5,6
2429,341,17,60,27,1252,213,168,811,4,10,6
2053,246,20,242,-4,618,251,210,972,4,3,6
2365,0,17,212,53,1337,207,149,391,4,6,6
2165,310,32,30,22,594,199,214,474,4,10,6
2035,353,20,365,-22,660,200,154,815,4,10,6
2417,282,20,67,11,1218,237,213,258,4,10,6
1919,44,26,162,68,150,173,77,706,4,5,6
2335,283,26,95,54,1451,230,227,700,4,10,6
2139,55,23,85,38,690,184,78,759,4,5,6
2117,23,31,330,59,841,157,90,845,4,10,6
2122,22,26,170,67,256,174,105,524,4,10,6
2439,39,17,67,26,306,199,111,335,4,10,6
2374,243,26,67,26,1207,250,220,876,4,10,6
2187,353,32,95,36,1434,167,143,379,4,10,6
2392,326,12,180,36,811,226,176,1565,4,11,6
2159,13,24,242,86,342,184,124,591,4,10,6
2404,329,19,192,95,759,214,181,612,4,10,6
2309,347,26,210,93,658,188,159,1048,4,10,6
2303,289,21,60,20,1103,232,214,769,4,10,6
2380,243,23,127,52,1498,251,216,631,4,10,6
2053,312,33,330,204,300,195,211,883,4,5,6
2113,32,23,30,12,630,182,100,693,4,5,6
2341,188,19,134,83,1604,250,159,900,4,3,6
2159,64,33,201,110,268,155,33,430,4,4,6
2329,53,19,216,67,1150,196,95,696,4,10,6
2476,302,8,313,42,706,237,177,1256,4,6,6
2466,271,21,210,60,579,242,218,365,4,10,6
2477,302,4,247,33,631,238,169,1301,4,6,6
2319,337,22,342,137,882,205,173,1180,4,10,6
2445,265,12,430,175,983,245,194,451,4,10,6
2505,25,10,90,12,446,219,140,1438,4,6,6
2416,43,8,612,110,742,222,136,1231,4,6,6
2273,318,26,272,136,1116,208,198,853,4,10,6
2281,107,15,190,41,1383,221,102,484,4,10,6
2114,65,30,67,19,495,164,43,765,4,10,6
1958,298,13,153,38,390,235,191,752,4,3,6
2461,234,8,443,105,825,248,178,1250,4,6,6
2233,60,19,330,110,642,197,90,60,4,3,6
2476,162,1,331,42,726,238,156,1266,4,6,6
2228,358,7,30,0,1316,227,156,618,4,14,6
2360,259,20,212,90,1170,247,214,324,4,10,6
2172,302,25,190,83,912,220,213,849,4,10,6
2378,116,14,175,46,437,226,108,1282,4,3,6
2399,5,30,268,56,722,166,125,560,4,10,6
2274,275,17,150,32,1667,242,208,812,4,3,6
2427,283,12,330,121,1148,241,193,1283,4,6,6
2228,310,28,42,26,1653,208,209,228,4,10,6
1899,298,21,0,0,134,227,209,774,4,5,6
2423,4,19,192,39,511,201,143,1248,4,11,6
2395,6,23,108,28,693,189,135,1213,4,10,6
2403,327,22,170,60,1332,210,185,577,4,10,6
2337,209,20,120,79,1661,254,181,937,4,3,6
2148,324,33,170,101,513,185,194,765,4,10,6
2446,269,18,277,-3,992,244,211,0,4,10,6
2300,260,28,42,19,1392,242,231,760,4,10,6
2178,38,26,95,31,335,174,86,659,4,10,6
2412,320,17,192,67,1308,221,187,607,4,10,6
2186,6,29,277,-4,573,171,126,854,4,10,6
2007,10,20,175,39,497,195,134,589,4,10,6
2396,340,19,457,126,976,209,169,1140,4,10,6
2386,118,20,95,30,641,218,86,1294,4,3,6
2434,81,17,247,76,812,208,91,1294,4,6,6
2375,333,23,313,69,1087,203,179,1290,4,10,6
2316,305,13,30,5,1187,233,189,1409,4,10,6
2466,322,23,270,88,685,210,191,450,4,10,6
2249,70,8,30,2,1248,225,129,655,4,3,6
2317,309,14,120,35,1536,230,188,631,4,10,6
2268,115,26,108,65,741,205,63,1006,4,4,6
2338,282,24,361,122,834,233,223,1120,4,10,6
2056,222,23,283,-1,582,254,197,947,4,3,6
2119,319,35,127,72,474,185,201,730,4,10,6
2304,87,13,182,57,1194,217,106,660,4,3,6
2219,30,22,446,91,514,186,106,153,4,10,6
2424,16,20,0,0,1294,193,127,774,4,10,6
2271,263,8,150,27,1712,244,182,875,4,3,6
1905,19,27,134,58,120,171,108,636,4,5,6
